PPO,multivariate-genuine-1k,multivariate-genuine-100%,univariate-genuine-1k,univariate-genuine-100%,uniform-genuine-1k,uniform-genuine-100%,mixture-genuine-1k,mixture-genuine-100%
0.375,0.74,0.585,0.5549999999999999,0.48,0.7649999999999999,0.8049999999999999,0.625,0.75
0.535,0.595,0.15,0.6699999999999999,0.67,0.7150000000000001,0.7849999999999999,0.5650000000000001,0.64
0.445,0.57,0.755,0.595,0.5499999999999999,0.8,0.76,0.52,0.71
0.45499999999999996,0.46499999999999997,0.6599999999999999,0.71,0.595,0.885,0.785,0.625,0.875
0.49,0.7,0.705,0.48,0.59,0.7,0.765,0.825,0.575
0.5549999999999999,0.525,0.67,0.605,0.6950000000000001,0.6799999999999999,0.7150000000000001,0.63,0.8200000000000001
0.5449999999999999,0.6799999999999999,0.645,0.56,0.45999999999999996,0.8300000000000001,0.835,0.54,0.88
0.505,0.41000000000000003,0.775,0.605,0.6,0.77,0.75,0.88,0.81
0.505,0.365,0.565,0.635,0.69,0.61,0.7450000000000001,0.8,0.845
0.41500000000000004,0.41,0.87,0.5900000000000001,0.54,0.58,0.835,0.8049999999999999,0.71
0.53,0.63,0.44,0.5549999999999999,0.625,0.71,0.865,0.36,0.53
0.395,0.695,0.26,0.565,0.675,0.58,0.82,0.7350000000000001,0.87
0.42000000000000004,0.515,0.445,0.53,0.45499999999999996,0.7,0.7949999999999999,0.49,0.8200000000000001
0.39,0.88,0.77,0.6499999999999999,0.625,0.815,0.8999999999999999,0.775,0.505
0.615,0.815,0.63,0.7250000000000001,0.62,0.75,0.72,0.605,0.79
0.635,0.52,0.71,0.75,0.61,0.78,0.7,0.63,0.46499999999999997
0.54,0.81,0.59,0.62,0.405,0.8400000000000001,0.825,0.775,0.765
0.365,0.615,0.55,0.675,0.275,0.78,0.685,0.75,0.62
0.39,0.675,0.9299999999999999,0.5599999999999999,0.49,0.7050000000000001,0.625,0.855,0.9199999999999999
0.41500000000000004,0.345,0.625,0.625,0.685,0.63,0.76,0.9450000000000001,0.86
0.485,0.7,0.8049999999999999,0.685,0.73,0.77,0.565,0.84,0.585
0.545,0.845,0.855,0.51,0.53,0.76,0.8049999999999999,0.565,0.67
0.41,0.65,0.495,0.51,0.645,0.9099999999999999,0.785,0.61,0.705
0.64,0.51,0.61,0.71,0.655,0.635,0.745,0.62,0.69
0.44999999999999996,0.23,0.62,0.575,0.53,0.7350000000000001,0.785,0.975,0.88
0.51,0.655,0.475,0.76,0.515,0.8,0.5549999999999999,0.7,0.665
0.385,0.54,0.52,0.73,0.58,0.69,0.875,0.55,0.785
0.44999999999999996,0.65,0.38,0.52,0.65,0.72,0.76,0.64,0.41
0.655,0.335,0.595,0.79,0.485,0.76,0.45999999999999996,0.71,0.72
0.6000000000000001,0.37,0.76,0.44,0.685,0.74,0.825,0.625,0.7949999999999999
0.545,0.635,0.51,0.67,0.485,0.515,0.71,0.7150000000000001,0.7050000000000001
0.495,0.505,0.745,0.625,0.62,0.665,0.875,0.6100000000000001,0.775
0.56,0.32,0.855,0.36,0.595,0.7649999999999999,0.845,0.75,0.7350000000000001
0.56,0.53,0.41500000000000004,0.55,0.665,0.855,0.775,0.595,0.7849999999999999
0.43,0.665,0.59,0.565,0.49,0.72,0.73,0.6499999999999999,0.925
0.515,0.445,0.275,0.6000000000000001,0.5700000000000001,0.87,0.815,0.665,0.8
0.44000000000000006,0.38,0.355,0.565,0.505,0.73,0.875,0.595,0.535
0.33999999999999997,0.46499999999999997,0.36500000000000005,0.6399999999999999,0.5,0.845,0.72,0.765,0.58
0.38,0.7,0.765,0.595,0.5449999999999999,0.6599999999999999,0.6599999999999999,0.745,0.785
0.56,0.7050000000000001,0.4,0.495,0.41000000000000003,0.685,0.79,0.74,0.7150000000000001
0.48,0.285,0.425,0.63,0.565,0.8049999999999999,0.6799999999999999,0.5599999999999999,0.7450000000000001
0.6950000000000001,0.525,0.8600000000000001,0.73,0.6,0.675,0.65,0.53,0.845
0.36,0.73,0.64,0.595,0.625,0.79,0.74,0.77,0.7350000000000001
0.5599999999999999,0.185,0.805,0.46499999999999997,0.73,0.74,0.825,0.55,0.64
0.525,0.865,0.44499999999999995,0.61,0.635,0.8300000000000001,0.605,0.73,0.745
0.4,0.87,0.26,0.815,0.455,0.71,0.595,0.645,0.77
0.62,0.45,0.79,0.84,0.505,0.71,0.78,0.435,0.895
0.42500000000000004,0.87,0.67,0.615,0.8300000000000001,0.935,0.73,0.6399999999999999,0.7849999999999999
0.69,0.5800000000000001,0.395,0.64,0.5900000000000001,0.7050000000000001,0.775,0.48,0.615
0.595,0.48,0.885,0.525,0.385,0.7949999999999999,0.78,0.7050000000000001,0.7250000000000001
0.51,0.6799999999999999,0.7749999999999999,0.49,0.645,0.7150000000000001,0.84,0.54,0.79
0.565,0.755,0.635,0.45,0.7749999999999999,0.7250000000000001,0.645,0.79,0.785
0.5900000000000001,0.745,0.7949999999999999,0.405,0.605,0.7749999999999999,0.755,0.665,0.7
0.405,0.55,0.7050000000000001,0.77,0.65,0.8,0.725,0.66,0.5449999999999999
0.47,0.48,0.815,0.585,0.49,0.855,0.695,0.73,0.79
0.5,0.7250000000000001,0.635,0.75,0.475,0.8400000000000001,0.735,0.605,0.675
0.47500000000000003,0.64,0.56,0.62,0.705,0.875,0.71,0.63,0.765
0.4,0.88,0.54,0.51,0.6950000000000001,0.72,0.6950000000000001,0.5900000000000001,0.855
0.5800000000000001,0.48500000000000004,0.42,0.685,0.64,0.785,0.605,0.605,0.74
0.525,0.385,0.61,0.695,0.73,0.88,0.8400000000000001,0.5800000000000001,0.78
0.5,0.49,0.27,0.365,0.675,0.7749999999999999,0.72,0.645,0.7
0.385,0.515,0.7050000000000001,0.56,0.515,0.78,0.785,0.79,0.7150000000000001
0.325,0.8400000000000001,0.95,0.5549999999999999,0.44499999999999995,0.8049999999999999,0.585,0.595,0.505
0.5349999999999999,0.43500000000000005,0.78,0.53,0.65,0.77,0.72,0.605,0.72
0.5349999999999999,0.435,0.6699999999999999,0.5549999999999999,0.305,0.665,0.7749999999999999,0.76,0.6799999999999999
0.395,0.485,0.8049999999999999,0.53,0.5900000000000001,0.735,0.76,0.7649999999999999,0.815
0.41000000000000003,0.73,0.555,0.62,0.6100000000000001,0.7949999999999999,0.88,0.5800000000000001,0.6950000000000001
0.41,0.715,0.375,0.65,0.4,0.88,0.83,0.8600000000000001,0.7849999999999999
0.4,0.585,0.735,0.48,0.47,0.875,0.7849999999999999,0.74,0.665
0.63,0.75,0.5900000000000001,0.605,0.605,0.8300000000000001,0.8049999999999999,0.77,0.75
0.45499999999999996,0.83,0.6799999999999999,0.7450000000000001,0.475,0.875,0.7949999999999999,0.79,0.8049999999999999
0.385,0.385,0.645,0.615,0.665,0.665,0.76,0.8200000000000001,0.65
0.33999999999999997,0.595,0.525,0.76,0.86,0.82,0.79,0.665,0.75
0.535,0.22,0.425,0.44999999999999996,0.6599999999999999,0.8500000000000001,0.715,0.49,0.675
0.545,0.375,0.5900000000000001,0.565,0.72,0.6799999999999999,0.56,0.685,0.765
0.62,0.48,0.725,0.535,0.5,0.655,0.6799999999999999,0.69,0.75
0.505,0.725,0.75,0.51,0.565,0.8049999999999999,0.855,0.675,0.8049999999999999
0.46499999999999997,0.505,0.66,0.61,0.605,0.795,0.54,0.565,0.7649999999999999
0.405,0.845,0.645,0.7,0.75,0.6499999999999999,0.75,0.7050000000000001,0.725
0.32,0.81,0.715,0.63,0.63,0.735,0.88,0.69,0.78
0.36,0.7250000000000001,0.79,0.40499999999999997,0.5,0.7150000000000001,0.74,0.805,0.6799999999999999
0.655,0.21000000000000002,0.615,0.615,0.61,0.85,0.61,0.735,0.8
0.44,0.7150000000000001,0.14500000000000002,0.625,0.455,0.69,0.73,0.7350000000000001,0.765
0.52,0.845,0.865,0.6699999999999999,0.545,0.825,0.645,0.745,0.66
0.4,0.7050000000000001,0.49,0.55,0.775,0.7549999999999999,0.77,0.62,0.69
0.52,0.59,0.73,0.5900000000000001,0.625,0.78,0.91,0.635,0.575
0.355,0.87,0.6799999999999999,0.63,0.4,0.615,0.825,0.61,0.77
0.4,0.735,0.675,0.635,0.65,0.74,0.8,0.88,0.69
0.735,0.755,0.725,0.64,0.455,0.76,0.76,0.7949999999999999,0.7849999999999999
0.365,0.445,0.7250000000000001,0.355,0.745,0.76,0.815,0.6,0.7949999999999999
0.37,0.46,0.615,0.595,0.745,0.885,0.8,0.385,0.885
0.44,0.355,0.745,0.6799999999999999,0.5349999999999999,0.555,0.8049999999999999,0.765,0.725
0.4,0.375,0.77,0.57,0.48,0.6950000000000001,0.72,0.595,0.605
0.505,0.62,0.445,0.635,0.78,0.925,0.735,0.8049999999999999,0.625
0.53,0.6599999999999999,0.645,0.61,0.635,0.685,0.895,0.685,0.755
0.61,0.74,0.585,0.7050000000000001,0.565,0.79,0.745,0.485,0.845
0.62,0.855,0.615,0.41000000000000003,0.51,0.815,0.725,0.865,0.505
0.46499999999999997,0.51,0.8200000000000001,0.6799999999999999,0.5449999999999999,0.835,0.8049999999999999,0.69,0.64
0.675,0.8300000000000001,0.605,0.72,0.505,0.865,0.7949999999999999,0.345,0.6950000000000001
0.5900000000000001,0.605,0.45,0.705,0.615,0.775,0.615,0.78,0.67
0.515,0.875,0.35500000000000004,0.7,0.495,0.675,0.7949999999999999,0.85,0.8049999999999999
0.33,0.63,0.765,0.635,0.495,0.72,0.8049999999999999,0.525,0.605
0.48,0.6,0.88,0.4,0.525,0.76,0.825,0.685,0.585
0.53,0.41,0.56,0.45,0.715,0.755,0.785,0.655,0.76
0.535,0.8400000000000001,0.645,0.555,0.49,0.885,0.685,0.585,0.745
0.5599999999999999,0.6599999999999999,0.75,0.365,0.57,0.715,0.735,0.74,0.775
0.44999999999999996,0.6599999999999999,0.745,0.47,0.635,0.71,0.8049999999999999,0.7849999999999999,0.875
0.59,0.13,0.405,0.39499999999999996,0.65,0.88,0.535,0.855,0.76
0.77,0.45999999999999996,0.665,0.65,0.77,0.685,0.88,0.615,0.58
0.575,0.83,0.435,0.49,0.65,0.7749999999999999,0.8200000000000001,0.73,0.8200000000000001
0.56,0.8049999999999999,0.13,0.63,0.5700000000000001,0.565,0.79,0.53,0.605
0.42,0.375,0.5700000000000001,0.6950000000000001,0.615,0.735,0.76,0.745,0.835
0.5,0.8,0.5499999999999999,0.66,0.53,0.6399999999999999,0.675,0.64,0.73
0.485,0.5650000000000001,0.84,0.51,0.8300000000000001,0.72,0.8200000000000001,0.77,0.6950000000000001
0.52,0.885,0.7150000000000001,0.605,0.63,0.6699999999999999,0.585,0.5249999999999999,0.81
0.42,0.835,0.625,0.5800000000000001,0.5900000000000001,0.7150000000000001,0.75,0.685,0.8200000000000001
0.47,0.415,0.915,0.6200000000000001,0.665,0.765,0.66,0.835,0.625
0.365,0.6599999999999999,0.565,0.67,0.51,0.76,0.7250000000000001,0.54,0.75
