PPO,multivariate-genuine-1k,multivariate-genuine-100%,univariate-genuine-1k,univariate-genuine-100%,uniform-genuine-1k,uniform-genuine-100%,mixture-genuine-1k,mixture-genuine-100%
0.4733333333333333,0.3166666666666666,0.4066666666666667,0.5566666666666666,0.45666666666666667,0.4933333333333333,0.2866666666666667,0.6033333333333333,0.5800000000000001
0.17999999999999994,0.3533333333333333,0.5866666666666667,0.4833333333333333,0.3333333333333333,0.55,0.4933333333333333,0.54,0.4
0.5466666666666666,0.45999999999999996,0.3333333333333333,0.32999999999999996,0.4433333333333333,0.55,0.5633333333333334,0.5133333333333333,0.22333333333333327
0.30666666666666664,0.5566666666666666,0.3833333333333333,0.5433333333333333,0.5766666666666667,0.5266666666666666,0.6000000000000001,0.38666666666666666,0.44666666666666666
0.3633333333333333,0.56,0.32999999999999996,0.32333333333333336,0.5833333333333333,0.5299999999999999,0.6933333333333334,0.47,0.1666666666666666
0.49,0.6766666666666667,0.4066666666666666,0.29333333333333333,0.27,0.4033333333333333,0.52,0.4033333333333333,0.48000000000000004
0.1666666666666666,0.42333333333333334,0.44999999999999996,0.4833333333333334,0.5866666666666667,0.4866666666666667,0.6633333333333333,0.44666666666666666,0.4833333333333333
0.5833333333333333,0.5033333333333333,0.5800000000000001,0.18666666666666665,0.4933333333333333,0.5733333333333334,0.6733333333333333,0.5066666666666666,0.6433333333333333
0.47,0.62,0.4633333333333333,0.6966666666666667,0.41333333333333333,0.5333333333333333,0.6366666666666667,0.63,0.6233333333333333
0.6566666666666667,0.43333333333333335,0.4733333333333333,0.15333333333333332,0.21666666666666665,0.4733333333333334,0.5333333333333333,0.5933333333333333,0.43333333333333335
0.43666666666666665,0.3966666666666666,0.4633333333333334,0.71,0.6366666666666667,0.6933333333333334,0.5766666666666667,0.7233333333333334,0.5933333333333333
0.53,0.26666666666666666,0.51,0.5666666666666667,0.5533333333333333,0.45999999999999996,0.6333333333333333,0.64,0.5033333333333333
0.7,0.6,0.3033333333333333,0.5166666666666666,0.30666666666666664,0.49333333333333335,0.6166666666666667,0.63,0.5566666666666666
