PPO,multivariate-genuine-1k,multivariate-genuine-100%,univariate-genuine-1k,univariate-genuine-100%,uniform-genuine-1k,uniform-genuine-100%,mixture-genuine-1k,mixture-genuine-100%
0.53,0.5700000000000001,0.485,0.46499999999999997,0.255,0.525,0.48,0.505,0.575
0.575,0.67,0.625,0.33999999999999997,0.49,0.445,0.45999999999999996,0.46499999999999997,0.7
0.485,0.5,0.425,0.54,0.46,0.505,0.55,0.625,0.645
0.5449999999999999,0.585,0.5700000000000001,0.515,0.435,0.49,0.385,0.545,0.5449999999999999
0.355,0.46499999999999997,0.5449999999999999,0.33499999999999996,0.46,0.525,0.405,0.7050000000000001,0.585
0.345,0.685,0.555,0.74,0.47,0.455,0.52,0.605,0.69
0.365,0.595,0.575,0.265,0.5549999999999999,0.645,0.33499999999999996,0.56,0.42500000000000004
0.33999999999999997,0.515,0.475,0.5549999999999999,0.595,0.35,0.395,0.62,0.4
0.71,0.43,0.505,0.28,0.46499999999999997,0.42000000000000004,0.575,0.38,0.76
0.485,0.46499999999999997,0.6399999999999999,0.45499999999999996,0.545,0.48,0.425,0.6100000000000001,0.615
0.44,0.55,0.6799999999999999,0.32,0.5800000000000001,0.5,0.30500000000000005,0.605,0.42
0.41500000000000004,0.55,0.395,0.44,0.44,0.495,0.75,0.645,0.505
0.47,0.675,0.5549999999999999,0.5,0.44,0.5900000000000001,0.42500000000000004,0.42,0.645
0.375,0.345,0.325,0.42500000000000004,0.5349999999999999,0.49,0.41000000000000003,0.69,0.585
0.51,0.5,0.44,0.48,0.415,0.515,0.5,0.455,0.56
0.325,0.42,0.46,0.625,0.615,0.45499999999999996,0.41,0.43,0.525
0.495,0.365,0.43,0.43,0.475,0.33499999999999996,0.5349999999999999,0.585,0.6
0.41000000000000003,0.3,0.585,0.59,0.45999999999999996,0.485,0.435,0.49,0.47
0.54,0.6000000000000001,0.455,0.52,0.465,0.545,0.5349999999999999,0.615,0.575
0.53,0.63,0.5800000000000001,0.36,0.645,0.365,0.395,0.54,0.6950000000000001
0.43,0.6399999999999999,0.485,0.555,0.485,0.48,0.385,0.725,0.47
0.445,0.51,0.335,0.505,0.48,0.44,0.585,0.775,0.585
0.36,0.27,0.29,0.41000000000000003,0.5,0.5,0.39,0.625,0.5800000000000001
0.395,0.495,0.5549999999999999,0.43000000000000005,0.515,0.565,0.48,0.43,0.655
0.375,0.48,0.345,0.565,0.475,0.44,0.405,0.485,0.535
0.51,0.5,0.67,0.5449999999999999,0.53,0.56,0.48,0.71,0.5549999999999999
0.4,0.44999999999999996,0.76,0.405,0.59,0.6499999999999999,0.52,0.45499999999999996,0.6399999999999999
0.33999999999999997,0.635,0.615,0.645,0.545,0.41500000000000004,0.53,0.63,0.505
0.345,0.64,0.325,0.565,0.48,0.41500000000000004,0.51,0.52,0.49
0.54,0.645,0.495,0.745,0.45999999999999996,0.43,0.465,0.51,0.5800000000000001
0.245,0.605,0.62,0.47,0.5,0.325,0.345,0.505,0.42500000000000004
0.485,0.485,0.5549999999999999,0.33499999999999996,0.485,0.505,0.5499999999999999,0.425,0.565
0.29000000000000004,0.525,0.605,0.395,0.4,0.345,0.46499999999999997,0.365,0.45999999999999996
0.365,0.65,0.62,0.45499999999999996,0.475,0.405,0.47,0.415,0.535
0.565,0.41000000000000003,0.43499999999999994,0.455,0.515,0.42000000000000004,0.43,0.61,0.625
0.43000000000000005,0.41500000000000004,0.6000000000000001,0.435,0.525,0.36,0.495,0.62,0.72
0.31,0.59,0.615,0.5,0.7,0.53,0.275,0.65,0.515
0.51,0.395,0.475,0.645,0.43000000000000005,0.46499999999999997,0.5549999999999999,0.56,0.575
0.325,0.53,0.505,0.35,0.31000000000000005,0.585,0.43000000000000005,0.64,0.63
0.45,0.685,0.6699999999999999,0.495,0.435,0.245,0.395,0.65,0.685
0.425,0.55,0.51,0.46499999999999997,0.425,0.3,0.345,0.595,0.565
0.43000000000000005,0.5900000000000001,0.345,0.35,0.66,0.32499999999999996,0.505,0.455,0.45499999999999996
0.51,0.605,0.5,0.445,0.42500000000000004,0.53,0.51,0.6000000000000001,0.48
0.37,0.625,0.615,0.385,0.55,0.415,0.32,0.37,0.47500000000000003
0.33999999999999997,0.435,0.345,0.635,0.36,0.51,0.615,0.345,0.5
0.655,0.41000000000000003,0.535,0.32999999999999996,0.305,0.365,0.565,0.715,0.5
0.455,0.62,0.51,0.385,0.405,0.495,0.33,0.65,0.58
0.315,0.735,0.475,0.52,0.46,0.53,0.44,0.485,0.545
0.485,0.39,0.51,0.405,0.4,0.405,0.515,0.5900000000000001,0.47
0.38,0.63,0.5349999999999999,0.345,0.485,0.455,0.38,0.64,0.585
0.525,0.73,0.47500000000000003,0.5,0.53,0.45,0.385,0.535,0.55
0.395,0.5449999999999999,0.41500000000000004,0.43999999999999995,0.5449999999999999,0.405,0.6499999999999999,0.6950000000000001,0.44999999999999996
0.495,0.68,0.64,0.45999999999999996,0.47,0.53,0.58,0.51,0.6699999999999999
0.32,0.5650000000000001,0.645,0.405,0.435,0.46499999999999997,0.445,0.475,0.4
0.33999999999999997,0.605,0.615,0.62,0.375,0.375,0.43,0.25,0.535
0.35,0.425,0.48,0.275,0.51,0.4,0.41500000000000004,0.35,0.655
0.395,0.45499999999999996,0.5700000000000001,0.30500000000000005,0.545,0.585,0.4,0.51,0.71
0.6100000000000001,0.445,0.575,0.5700000000000001,0.34,0.595,0.51,0.49,0.69
0.41000000000000003,0.655,0.58,0.525,0.5,0.485,0.5900000000000001,0.6000000000000001,0.585
0.43,0.435,0.43499999999999994,0.6,0.28,0.47,0.32999999999999996,0.345,0.48
