PPO,multivariate-genuine-1k,multivariate-genuine-100%,univariate-genuine-1k,univariate-genuine-100%,uniform-genuine-1k,uniform-genuine-100%,mixture-genuine-1k,mixture-genuine-100%
0.505,0.59,0.48,0.44500000000000006,0.375,0.645,0.61,0.66,0.675
0.44499999999999995,0.565,0.63,0.575,0.355,0.59,0.605,0.6699999999999999,0.685
0.43,0.62,0.605,0.51,0.5249999999999999,0.59,0.58,0.5700000000000001,0.685
0.18,0.605,0.635,0.545,0.5800000000000001,0.625,0.6,0.67,0.635
0.2,0.435,0.66,0.54,0.485,0.59,0.625,0.665,0.65
0.28,0.605,0.46499999999999997,0.42000000000000004,0.615,0.61,0.59,0.67,0.645
0.5,0.4,0.535,0.55,0.48,0.615,0.625,0.655,0.6499999999999999
0.285,0.5800000000000001,0.6699999999999999,0.51,0.29500000000000004,0.615,0.6,0.67,0.66
0.505,0.62,0.575,0.42000000000000004,0.38,0.6,0.6,0.66,0.64
0.425,0.39999999999999997,0.66,0.56,0.62,0.61,0.63,0.65,0.6599999999999999
0.405,0.325,0.43,0.53,0.495,0.63,0.65,0.67,0.6100000000000001
0.41500000000000004,0.485,0.64,0.575,0.46499999999999997,0.6,0.655,0.65,0.585
0.535,0.42500000000000004,0.27499999999999997,0.6000000000000001,0.585,0.61,0.615,0.6699999999999999,0.67
0.32,0.11,0.355,0.4,0.495,0.6100000000000001,0.56,0.67,0.64
0.495,0.575,0.44999999999999996,0.65,0.535,0.58,0.605,0.71,0.6799999999999999
0.28,0.64,0.55,0.515,0.315,0.5449999999999999,0.595,0.675,0.605
0.32999999999999996,0.605,0.595,0.445,0.46499999999999997,0.61,0.62,0.675,0.6799999999999999
0.5549999999999999,0.375,0.41000000000000003,0.595,0.44,0.605,0.63,0.675,0.665
0.49,0.655,0.605,0.445,0.61,0.595,0.6,0.6799999999999999,0.685
0.41000000000000003,0.44,0.65,0.51,0.42500000000000004,0.61,0.63,0.6799999999999999,0.68
0.33999999999999997,0.185,0.435,0.475,0.485,0.61,0.64,0.6799999999999999,0.625
0.215,0.315,0.39999999999999997,0.49,0.51,0.615,0.6,0.6799999999999999,0.635
0.445,0.175,0.40499999999999997,0.45,0.5,0.61,0.595,0.6000000000000001,0.67
0.365,0.56,0.54,0.53,0.575,0.63,0.61,0.635,0.66
0.415,0.2,0.61,0.415,0.495,0.58,0.59,0.67,0.6599999999999999
0.31,0.465,0.42,0.5449999999999999,0.46,0.625,0.62,0.69,0.65
0.37,0.36,0.63,0.475,0.425,0.615,0.625,0.665,0.685
0.45499999999999996,0.64,0.41500000000000004,0.54,0.495,0.61,0.635,0.54,0.635
0.485,0.425,0.26,0.565,0.475,0.65,0.595,0.59,0.66
0.48,0.425,0.26,0.52,0.515,0.615,0.625,0.67,0.635
0.375,0.55,0.355,0.43,0.28500000000000003,0.61,0.615,0.65,0.635
0.36,0.455,0.48,0.4,0.515,0.605,0.6,0.6950000000000001,0.655
0.355,0.42,0.62,0.55,0.44999999999999996,0.65,0.565,0.665,0.655
0.46,0.65,0.635,0.44499999999999995,0.24,0.585,0.65,0.67,0.67
0.35,0.425,0.685,0.465,0.5700000000000001,0.59,0.615,0.6599999999999999,0.655
0.25,0.625,0.395,0.51,0.525,0.64,0.605,0.685,0.66
0.305,0.175,0.155,0.44499999999999995,0.435,0.615,0.635,0.7,0.6799999999999999
0.45,0.6699999999999999,0.595,0.44000000000000006,0.33,0.585,0.59,0.685,0.645
0.5,0.545,0.45,0.38,0.52,0.625,0.605,0.6799999999999999,0.515
0.44,0.405,0.675,0.53,0.45999999999999996,0.61,0.635,0.645,0.63
0.385,0.395,0.65,0.4,0.55,0.595,0.585,0.6,0.665
0.345,0.455,0.64,0.48,0.425,0.625,0.6,0.665,0.67
0.51,0.6499999999999999,0.62,0.485,0.515,0.61,0.6,0.6950000000000001,0.48
0.36,0.18,0.5700000000000001,0.44499999999999995,0.36,0.63,0.605,0.65,0.665
0.28500000000000003,0.38,0.65,0.495,0.385,0.6,0.645,0.535,0.63
0.345,0.445,0.47,0.46499999999999997,0.44,0.635,0.59,0.665,0.67
0.435,0.5249999999999999,0.65,0.595,0.515,0.59,0.635,0.645,0.36000000000000004
0.53,0.63,0.655,0.47,0.565,0.62,0.6,0.535,0.6699999999999999
0.495,0.64,0.55,0.41500000000000004,0.52,0.595,0.645,0.67,0.675
0.345,0.61,0.42500000000000004,0.655,0.52,0.61,0.64,0.605,0.655
0.345,0.62,0.635,0.46,0.575,0.59,0.625,0.6799999999999999,0.645
0.35,0.49,0.64,0.53,0.545,0.625,0.5700000000000001,0.6699999999999999,0.625
0.5,0.445,0.635,0.385,0.53,0.625,0.575,0.52,0.66
0.445,0.47,0.6100000000000001,0.475,0.385,0.625,0.62,0.6799999999999999,0.6799999999999999
0.44,0.15,0.365,0.62,0.435,0.595,0.635,0.615,0.675
0.43,0.28,0.63,0.56,0.44,0.62,0.635,0.66,0.605
0.325,0.645,0.44499999999999995,0.56,0.5,0.635,0.605,0.62,0.645
0.335,0.62,0.27,0.595,0.54,0.62,0.64,0.705,0.655
0.28500000000000003,0.41,0.41000000000000003,0.585,0.41,0.615,0.605,0.55,0.635
0.44,0.615,0.67,0.55,0.495,0.605,0.61,0.685,0.6799999999999999
0.33499999999999996,0.265,0.5900000000000001,0.57,0.485,0.6,0.625,0.675,0.66
0.33999999999999997,0.68,0.665,0.5449999999999999,0.54,0.6,0.6,0.66,0.65
0.25,0.675,0.605,0.525,0.46499999999999997,0.605,0.615,0.6599999999999999,0.5549999999999999
0.4,0.605,0.5900000000000001,0.46499999999999997,0.515,0.605,0.62,0.45999999999999996,0.69
0.31,0.635,0.48,0.5,0.44,0.64,0.64,0.56,0.5449999999999999
0.52,0.48,0.44999999999999996,0.6000000000000001,0.515,0.62,0.605,0.595,0.65
0.29,0.505,0.62,0.5700000000000001,0.525,0.605,0.62,0.62,0.64
0.31,0.63,0.645,0.395,0.535,0.63,0.6,0.655,0.66
0.43,0.535,0.61,0.515,0.61,0.6100000000000001,0.605,0.6799999999999999,0.665
0.445,0.275,0.36,0.65,0.44499999999999995,0.6,0.61,0.645,0.685
0.38,0.165,0.635,0.37,0.485,0.645,0.635,0.49,0.645
0.43999999999999995,0.46499999999999997,0.345,0.51,0.535,0.675,0.595,0.675,0.65
0.37,0.655,0.395,0.5900000000000001,0.5900000000000001,0.595,0.565,0.645,0.565
0.505,0.635,0.67,0.56,0.485,0.6,0.645,0.675,0.645
0.43,0.345,0.355,0.395,0.54,0.615,0.635,0.61,0.6499999999999999
0.35000000000000003,0.635,0.375,0.39,0.5,0.64,0.595,0.6799999999999999,0.66
0.505,0.45,0.18,0.415,0.575,0.625,0.615,0.66,0.46
0.45499999999999996,0.5900000000000001,0.635,0.505,0.63,0.615,0.635,0.5,0.66
0.29500000000000004,0.6599999999999999,0.46499999999999997,0.615,0.61,0.62,0.595,0.645,0.655
0.495,0.42000000000000004,0.63,0.37,0.51,0.6,0.615,0.675,0.695
0.18,0.47000000000000003,0.65,0.475,0.63,0.605,0.595,0.625,0.67
0.375,0.635,0.64,0.54,0.51,0.6,0.635,0.685,0.63
0.375,0.39,0.6000000000000001,0.52,0.45499999999999996,0.62,0.615,0.66,0.645
0.5,0.64,0.41,0.545,0.6100000000000001,0.595,0.585,0.6799999999999999,0.69
0.38,0.36,0.5900000000000001,0.5,0.64,0.645,0.64,0.5549999999999999,0.665
0.31,0.52,0.4,0.525,0.485,0.585,0.625,0.6699999999999999,0.665
0.43,0.45999999999999996,0.595,0.46,0.475,0.615,0.62,0.67,0.665
0.305,0.63,0.24,0.54,0.42500000000000004,0.64,0.65,0.66,0.5700000000000001
0.45,0.08499999999999999,0.16,0.495,0.395,0.6,0.615,0.615,0.525
0.565,0.51,0.16999999999999998,0.525,0.55,0.595,0.595,0.635,0.67
0.34,0.41000000000000003,0.54,0.495,0.53,0.615,0.58,0.67,0.645
0.42500000000000004,0.5,0.395,0.5249999999999999,0.41500000000000004,0.585,0.605,0.685,0.63
0.41000000000000003,0.6100000000000001,0.415,0.54,0.475,0.585,0.59,0.62,0.6
0.385,0.395,0.605,0.63,0.41000000000000003,0.595,0.65,0.66,0.665
0.28500000000000003,0.44000000000000006,0.435,0.535,0.41000000000000003,0.595,0.63,0.675,0.645
0.38,0.565,0.65,0.37,0.53,0.63,0.64,0.69,0.545
0.275,0.525,0.33499999999999996,0.455,0.47,0.6,0.625,0.67,0.645
0.46499999999999997,0.475,0.63,0.375,0.535,0.61,0.625,0.68,0.65
0.355,0.39499999999999996,0.53,0.535,0.625,0.61,0.605,0.645,0.63
0.485,0.525,0.56,0.46,0.41500000000000004,0.63,0.62,0.6399999999999999,0.655
0.46,0.6699999999999999,0.5700000000000001,0.5,0.5900000000000001,0.605,0.635,0.595,0.655
0.32,0.395,0.615,0.485,0.55,0.595,0.6,0.54,0.66
0.375,0.635,0.625,0.44499999999999995,0.635,0.6000000000000001,0.635,0.675,0.6799999999999999
0.355,0.635,0.395,0.49,0.43,0.615,0.57,0.63,0.625
0.5,0.56,0.61,0.5800000000000001,0.62,0.61,0.61,0.6799999999999999,0.655
0.345,0.635,0.49,0.505,0.5700000000000001,0.615,0.625,0.685,0.695
0.41000000000000003,0.38,0.35,0.54,0.5800000000000001,0.615,0.59,0.66,0.45999999999999996
0.405,0.44499999999999995,0.625,0.56,0.48,0.585,0.65,0.685,0.67
0.32,0.22,0.125,0.52,0.41,0.615,0.62,0.6699999999999999,0.63
0.375,0.47500000000000003,0.365,0.495,0.525,0.64,0.62,0.7,0.69
0.41000000000000003,0.63,0.395,0.54,0.59,0.625,0.645,0.6799999999999999,0.645
0.405,0.4,0.66,0.51,0.6100000000000001,0.585,0.605,0.6499999999999999,0.625
0.35,0.625,0.66,0.45999999999999996,0.635,0.595,0.605,0.62,0.6
0.365,0.66,0.635,0.45499999999999996,0.535,0.61,0.62,0.695,0.6799999999999999
0.46,0.65,0.25,0.47500000000000003,0.565,0.62,0.595,0.61,0.47
0.345,0.65,0.53,0.475,0.48,0.665,0.615,0.665,0.6599999999999999
